student_id,math_track,first_math_grade,first_math_grade_point,math_track_encoded
S17260886b2c148b3,college_algebra,C+,2.5,1
S1733ef75250705ec,college_algebra,D+,1.5,1
S1753d9cbafaeee88,calculus,A+,4.0,3
S175445784892a463,precalculus,A,4.0,2
S1765c05303261762,calculus,D+,1.5,3
S177421cd6bdc3f6f,precalculus,D+,1.5,2
S17758ebe29a6f0da,college_algebra,E,0.0,1
S177b827f9b33fb7e,calculus,B,3.0,3
S17b2314da2883765,calculus,B+,3.5,3
S17baef795ba43fb3,calculus,B+,3.5,3
S17e6cfd647f4367b,calculus,A,4.0,3
S17fa07a998528fd2,calculus,C+,2.5,3
S180c67ba533be43b,calculus,A,4.0,3
S1832923e68a6a0d3,calculus,D,1.0,3
S185255a321bdc995,calculus,B+,3.5,3
S1895c1b926b2f055,calculus,C+,2.5,3
S1899bcd253536067,precalculus,A,4.0,2
S18d66578bed019b2,precalculus,B,3.0,2
S18db708b0565b636,precalculus,B+,3.5,2
S18e73eeba55f14c8,precalculus,B,3.0,2
S18ede7bd2e7e44aa,calculus,B,3.0,3
S18f22ecae0931032,calculus,B,3.0,3
S18fe630fc6de089e,calculus,B,3.0,3
S18fed348ccb00359,precalculus,B+,3.5,2
S19082e945f736101,precalculus,A,4.0,2
S190ed407a43501f2,calculus,B,3.0,3
S19147d2423bb2a34,college_algebra,A,4.0,1
S1918f7da930f8f54,precalculus,D+,1.5,2
S191d1045a9cd278b,calculus,B+,3.5,3
S191e6fecbab67593,precalculus,B+,3.5,2
S195152f7f3ee93ca,college_algebra,C,2.0,1
S1962a821b288d170,precalculus,B,3.0,2
S19792bb75794a230,calculus,A,4.0,3
S199667fdf08b2f78,calculus,D+,1.5,3
S19a4889408182311,calculus,B+,3.5,3
S19a816968c7cc091,college_algebra,B+,3.5,1
S19b6877b16e9bbc2,calculus,D+,1.5,3
S19b8bf1c54fb9968,calculus,C+,2.5,3
S19bfb295c49d6e93,precalculus,C+,2.5,2
S19e28b9b072e2b63,calculus,A,4.0,3
S19eeed941da151cf,college_algebra,B,3.0,1
S1a1bc06d828efa20,calculus,C+,2.5,3
S1a2f12b8ed0541c6,precalculus,A+,4.0,2
S1a47681c812671e1,calculus,C+,2.5,3
S1a51fe1231ddcd23,college_algebra,A+,4.0,1
S1a53127de933ad97,calculus,C,2.0,3
S1a5f372a3bbbea1f,precalculus,B+,3.5,2
S1a7bbcaf79a70718,precalculus,D,1.0,2
S1a861a94c09baace,calculus,B,3.0,3
S1a8b4ded2efcbc68,college_algebra,A,4.0,1
S1aad1173030ce17d,precalculus,C,2.0,2
S1ad70103670c2b4c,calculus,C,2.0,3
S1ae63a6b227efb13,college_algebra,A,4.0,1
S1afa9d3d2582826b,calculus,D+,1.5,3
S1b0f4121c3b0de8a,calculus,A+,4.0,3
S1b18909bedf8582c,precalculus,B,3.0,2
S1b2f1a80315dc492,precalculus,E,0.0,2
S1b58994f844adcfb,calculus,B,3.0,3
S1b746f86595af065,precalculus,A,4.0,2
S1b8466b749f781c0,calculus,C,2.0,3
S1b91b561b4efe392,calculus,C+,2.5,3
S1b978a256e14632b,calculus,D+,1.5,3
S1b9c75effad72a0f,calculus,A,4.0,3
S1ba73393ff741c07,calculus,D+,1.5,3
S1bba52af8dfdde69,calculus,D+,1.5,3
S1bd4568f8f61098b,precalculus,C+,2.5,2
S1bebbca3b474f5ec,calculus,C+,2.5,3
S1c1172137946d4b7,calculus,B,3.0,3
S1c299d36aaf82fb1,precalculus,A+,4.0,2
S1c38adb0d8ca83c8,college_algebra,A,4.0,1
S1c6af8e115819e29,precalculus,C+,2.5,2
S1c8915c1d87aeb65,precalculus,C,2.0,2
S1c8ac46cdd02ebe3,calculus,B,3.0,3
S1c8bc5bfb2dddc46,calculus,C+,2.5,3
S1c8eec93df688545,calculus,B+,3.5,3
S1cb224ad09936b15,precalculus,B,3.0,2
S1cb62d5ac5295647,calculus,C,2.0,3
S1cc36356a9fe003d,calculus,A,4.0,3
S1cc5c8e77a41be06,college_algebra,C+,2.5,1
S1ccd30ecadc39110,precalculus,D,1.0,2
S1ccef092286f8e74,calculus,D+,1.5,3
S1cd5d4ca2c0ca21a,calculus,B+,3.5,3
S1d1a14d9c90b95fb,precalculus,C,2.0,2
S1d20314e8f81e48c,calculus,B,3.0,3
S1d268e82fd945407,calculus,D,1.0,3
S1d2b2b22f4111122,calculus,D,1.0,3
S1d34fa12eebdcd2b,calculus,C+,2.5,3
S1d417fd6f407e8f9,calculus,B,3.0,3
S1d45bde9bf601c8c,calculus,B,3.0,3
S1d596941807dca68,calculus,D+,1.5,3
S1d5a771ad5397994,calculus,A,4.0,3
S1d5d68ba6cd65243,precalculus,A,4.0,2
S1d6ef74e8e7bd84f,calculus,B+,3.5,3
S1d766b5514da9a8b,precalculus,A,4.0,2
S1d9b3bd967e8adde,calculus,C+,2.5,3
S1dabed6cdc3b5bcf,calculus,C,2.0,3
S1daedcdb14119071,precalculus,A+,4.0,2
S1dc6a849be798e8f,calculus,D+,1.5,3
S1dd03e0cce915dac,calculus,B,3.0,3
S1dd1c589c382e03b,precalculus,A,4.0,2
S1dd6aa0351edb48f,calculus,A,4.0,3
S1de2f69a90f8ddbb,calculus,D+,1.5,3
S1debcb8a07926244,calculus,B,3.0,3
S1e0bdf95dac417d5,calculus,C+,2.5,3
S1e1a89a7bbf59ffb,calculus,C,2.0,3
S1e20b2a9d24d3373,precalculus,E,0.0,2
S1e463d46da415819,calculus,B+,3.5,3
S1e52d50866da401e,precalculus,E,0.0,2
S1e8482acc9b3cc77,calculus,C+,2.5,3
S1e89a1ee8f90552f,precalculus,B+,3.5,2
S1e985175e161dfb5,calculus,B+,3.5,3
S1ea20cf42ce6ca4e,calculus,B+,3.5,3
S1eac2b1d49743ef9,calculus,C,2.0,3
S1ebb4c32690cc963,calculus,C,2.0,3
S1ebefd6e007db275,precalculus,B+,3.5,2
S1eccec4ed776746d,calculus,A,4.0,3
S1ee97c647eefe5d9,precalculus,B+,3.5,2
S1f0a23491bbf3e3d,precalculus,D,1.0,2
S1f0dab8176f03c7d,precalculus,C,2.0,2
S1f254e737f1a83ff,precalculus,C+,2.5,2
S1f31ca0deb6e9327,precalculus,E,0.0,2
S1f358b926e441d08,precalculus,B+,3.5,2
S1f58ac9af49f69a7,precalculus,D+,1.5,2
S1f6482a572896352,precalculus,C+,2.5,2
S1f6ee74edc523461,calculus,A,4.0,3
S1f6f048bb532faa7,precalculus,A,4.0,2
S1fa7659d375d4b85,calculus,D+,1.5,3
S1fad2c4c5dac83e9,precalculus,A+,4.0,2
S1fada4f71d10a832,calculus,C+,2.5,3
S1fb74d0e6e34845f,calculus,B,3.0,3
S1fc3575881359770,calculus,E,0.0,3
S1fd45967b392ab05,college_algebra,A,4.0,1
S1fe673a5eb010a1e,calculus,B+,3.5,3
S1fea5429f8129ae1,precalculus,B,3.0,2
S200db0aa124b0c96,precalculus,A+,4.0,2
S203f542da2e61e6a,calculus,A,4.0,3
S2041b2cd14d0c0b8,precalculus,A,4.0,2
S2082cd19e08a80b3,precalculus,B,3.0,2
S208e28c56228e237,precalculus,D+,1.5,2
S209478d6797083d3,precalculus,D+,1.5,2
S20b841b4c9b1354a,precalculus,A+,4.0,2
S20c1572437ae3c78,calculus,D+,1.5,3
S20d2f4b81aa0b00d,calculus,D+,1.5,3
S20d47ba431482ec1,college_algebra,A,4.0,1
S20dd1bca6b86722f,calculus,B+,3.5,3
S210e3c8bfecfddec,calculus,D+,1.5,3
S211ff4058d1a42fe,calculus,A,4.0,3
S2126bc01fa74cb2a,precalculus,E,0.0,2
S21509ab91c5f8ce4,precalculus,B,3.0,2
S2153872c660bdcc7,calculus,E,0.0,3
S215f61121d876d4b,precalculus,A+,4.0,2
S2160a74c8f88d4e8,college_algebra,E,0.0,1
S216479c116df0b04,calculus,C,2.0,3
S218c9053fd7e85bf,calculus,B+,3.5,3
S21a229b825069884,calculus,A,4.0,3
S21c3c2b79dcc218e,precalculus,D,1.0,2
S21dfddd92fd24084,precalculus,C+,2.5,2
S21e3e0bbee1b9e19,calculus,B,3.0,3
S21eae7a2278d7922,calculus,B,3.0,3
S21f491d72b1948fe,calculus,B+,3.5,3
S21fe73808f728294,calculus,B,3.0,3
S22489dc7213ceeeb,calculus,B,3.0,3
S225d1264dca6c102,calculus,D,1.0,3
S2261a9ad280fa431,precalculus,D+,1.5,2
S229b742cf61a61d4,precalculus,C+,2.5,2
S229f3a41e2b7f40d,precalculus,A,4.0,2
S22b1159442ff23e3,college_algebra,C,2.0,1
S22cb0b7fede8c478,college_algebra,A,4.0,1
S22db7b18c5accba1,precalculus,C,2.0,2
S22e449a0b3b27317,calculus,B+,3.5,3
S22e93bd044df3a6f,precalculus,C+,2.5,2
S22f42451b8da8882,precalculus,B+,3.5,2
S22f6e5a61b0657f7,calculus,C,2.0,3
S22f8e82a52ae89de,calculus,C+,2.5,3
S2300cbb3630d1c7c,calculus,C,2.0,3
S230137b42fcfa47c,precalculus,C,2.0,2
S2301ec11c3573d23,calculus,A+,4.0,3
S2308ff43c2ebfda5,calculus,D+,1.5,3
S23488a1f75f3c4e8,precalculus,C+,2.5,2
S235bc2a2bbc0f991,calculus,A,4.0,3
S2387d62e2f19b52a,calculus,A+,4.0,3
S23892767daae57d0,precalculus,B+,3.5,2
S2389cb3ef4a74e1f,precalculus,C+,2.5,2
S23914be7833ba250,college_algebra,D+,1.5,1
S239c05eff1bb6891,precalculus,C,2.0,2
S23bee4efac51ef2a,calculus,C,2.0,3
S23c202c1f7206a2e,calculus,D+,1.5,3
S23c7e836c63b8e92,calculus,A,4.0,3
S23d4d0bb979ffb6f,calculus,B,3.0,3
S23de505b3e904b9a,calculus,A+,4.0,3
S23e77bdf4ac66352,precalculus,B,3.0,2
S23ec4515e8b3f6ec,precalculus,C,2.0,2
S23ef622fa9132f61,calculus,E,0.0,3
S23ff4ddc098a2286,precalculus,C+,2.5,2
S2410aa01ad884694,calculus,B,3.0,3
S241498b86bf76619,precalculus,A,4.0,2
S241d49537dd61f29,calculus,B+,3.5,3
S243d9183cdc07028,precalculus,A,4.0,2
S244638744393869d,calculus,A,4.0,3
S24489d540f9203e8,calculus,A,4.0,3
S2448eeaab69235d1,calculus,B,3.0,3
S244c4a44b551713a,calculus,B+,3.5,3
S2451c144ceb16493,calculus,A,4.0,3
S24687097c997fe7f,precalculus,D,1.0,2
S248eb0760be7974a,calculus,D+,1.5,3
S24b682f7b06a238c,precalculus,B+,3.5,2
S24b9ebf8d5a2d11a,precalculus,D,1.0,2
S24c307105d2820a9,precalculus,C,2.0,2
S24c40c789d835593,calculus,C+,2.5,3
S24c91336cf1ff206,calculus,B+,3.5,3
S24cca7b8c91f0034,calculus,C,2.0,3
S24d010616d010566,calculus,C+,2.5,3
S2505ac505c4f3bdd,calculus,C,2.0,3
S25328cc3f9b0ef1a,precalculus,D+,1.5,2
S25391f39668a38b4,calculus,D,1.0,3
S259217d2fba87d3b,calculus,C+,2.5,3
S25c59a3a112509f5,college_algebra,C+,2.5,1
S25d215ec0a850cfa,college_algebra,C+,2.5,1
S25d9c7a70b4c23eb,calculus,B+,3.5,3
S25e43610e0f0b8e7,calculus,A,4.0,3
S25eee13db1ad4d67,calculus,A,4.0,3
S25f757c70b024f13,calculus,A,4.0,3
S26106919346096e5,calculus,B+,3.5,3
S263bafc1922c2eaa,precalculus,C,2.0,2
